name,info,lon,lat,show
Alabama_02,1,-86.79113,32.806671,TRUE
Alaska_02,1,-152.404419,61.370716,TRUE
Arizona_02,1,-111.431221,33.729759,TRUE
Arkansas_02,1,-92.373123,34.969704,TRUE
California_02,0,-119.681564,36.116203,TRUE
Colorado_02,0,-105.311104,39.059811,TRUE
Connecticut_02,0,-72.755371,41.597782,TRUE
Delaware_02,0,-75.507141,39.318523,TRUE
Florida_02,1,-81.686783,27.766279,TRUE
Georgia_02,1,-83.643074,33.040619,TRUE
Hawaii_02,0,-157.498337,21.094318,TRUE
Idaho_02,1,-114.478828,44.240459,TRUE
Illinois_02,0,-88.986137,40.349457,TRUE
Indiana_02,1,-86.258278,39.849426,TRUE
Iowa_02,1,-93.210526,42.011539,TRUE
Kansas_02,1,-96.726486,38.5266,TRUE
Kentucky_02,1,-84.670067,37.66814,TRUE
Louisiana_02,1,-91.867805,31.169546,TRUE
Maine_02,0,-69.381927,44.693947,TRUE
Maryland_02,0,-76.802101,39.063946,TRUE
Massachusetts_02,0,-71.530106,42.230171,TRUE
Michigan_02,1,-84.536095,43.326618,TRUE
Minnesota_02,0,-93.900192,45.694454,TRUE
Mississippi_02,1,-89.678696,32.741646,TRUE
Missouri_02,1,-92.288368,38.456085,TRUE
Montana_02,1,-110.454353,46.921925,TRUE
Nebraska_02,1,-98.268082,41.12537,TRUE
Nevada_02,0,-117.055374,38.313515,TRUE
New_Hampshire_02,0,-71.563896,43.452492,TRUE
New_Jersey_02,0,-74.521011,40.298904,TRUE
New_Mexico_02,0,-106.248482,34.840515,TRUE
New_York_02,0,-74.948051,42.165726,TRUE
North_Carolina_02,1,-79.806419,35.630066,TRUE
North_Dakota_02,1,-99.784012,47.528912,TRUE
Ohio_02,1,-82.764915,40.388783,TRUE
Oklahoma_02,1,-96.928917,35.565342,TRUE
Oregon_02,0,-122.070938,44.572021,TRUE
Pennsylvania_02,1,-77.209755,40.590752,TRUE
Rhode_Island_02,0,-71.51178,41.680893,TRUE
South_Carolina_02,1,-80.945007,33.856892,TRUE
South_Dakota_02,1,-99.438828,44.299782,TRUE
Tennessee_02,1,-86.692345,35.747845,TRUE
Texas_02,1,-97.563461,31.054487,TRUE
Utah_02,1,-111.862434,40.150032,TRUE
Vermont_02,0,-72.710686,44.045876,TRUE
Virginia_02,0,-78.169968,37.769337,TRUE
Washington_02,0,-121.490494,47.400902,TRUE
West_Virginia_02,1,-80.954453,38.491226,TRUE
Wisconsin_02,1,-89.616508,44.268543,TRUE
Wyoming_02,1,-107.30249,42.755966,TRUE
