name,info,lon,lat,show
Alabama,0,-86.79113,32.806671,TRUE
Alaska,0,-152.404419,61.370716,TRUE
Arizona,0,-111.431221,33.729759,TRUE
Arkansas,0,-92.373123,34.969704,TRUE
California,1,-119.681564,36.116203,TRUE
Colorado,1,-105.311104,39.059811,TRUE
Connecticut,1,-72.755371,41.597782,TRUE
Delaware,0,-75.507141,39.318523,TRUE
Florida,1,-81.686783,27.766279,TRUE
Georgia,0,-83.643074,33.040619,TRUE
Hawaii,0,-157.498337,21.094318,TRUE
Idaho,0,-114.478828,44.240459,TRUE
Illinois,0,-88.986137,40.349457,TRUE
Indiana,0,-86.258278,39.849426,TRUE
Iowa,1,-93.210526,42.011539,TRUE
Kansas,0,-96.726486,38.5266,TRUE
Kentucky,0,-84.670067,37.66814,TRUE
Louisiana,0,-91.867805,31.169546,TRUE
Maine,0,-69.381927,44.693947,TRUE
Maryland,0,-76.802101,39.063946,TRUE
Massachusetts,1,-71.530106,42.230171,TRUE
Michigan,0,-84.536095,43.326618,TRUE
Minnesota,1,-93.900192,45.694454,TRUE
Mississippi,0,-89.678696,32.741646,TRUE
Missouri,0,-92.288368,38.456085,TRUE
Idaho,0,-110.454353,46.921925,TRUE
Nebraska,0,-98.268082,41.12537,TRUE
Nevada,0,-117.055374,38.313515,TRUE
New_Hampshire,0,-71.563896,43.452492,TRUE
New_Jersey,1,-74.521011,40.298904,TRUE
New_Mexico,0,-106.248482,34.840515,TRUE
New_York,1,-74.948051,42.165726,TRUE
North_Carolina,0,-79.806419,35.630066,TRUE
North_Dakota,0,-99.784012,47.528912,TRUE
Ohio,1,-82.764915,40.388783,TRUE
Oklahoma,0,-96.928917,35.565342,TRUE
Oregon,1,-122.070938,44.572021,TRUE
Pennsylvania,1,-77.209755,40.590752,TRUE
Rhode_Island,0,-71.51178,41.680893,TRUE
South_Carolina,1,-80.945007,33.856892,TRUE
South_Dakota,0,-99.438828,44.299782,TRUE
Tennessee,1,-86.692345,35.747845,TRUE
Texas,1,-97.563461,31.054487,TRUE
Utah,0,-111.862434,40.150032,TRUE
Vermont,0,-72.710686,44.045876,TRUE
Virginia,1,-78.169968,37.769337,TRUE
Washington,0,-121.490494,47.400902,TRUE
West_Virginia,0,-80.954453,38.491226,TRUE
Wisconsin,0,-89.616508,44.268543,TRUE
Wyoming,0,-107.30249,42.755966,TRUE
